platform,cpu_model,workload,backend,n,mean_s,ci95_low_s,ci95_high_s,cv_percent,overhead_x_vs_native,overhead_p_value,overhead_p_holm,overhead_x_vs_cli,overhead_p_vs_cli,overhead_p_vs_cli_holm,container_peak_mem_mb,lifecycle_floor_s,compute_est_s
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pack_ecp5_ecppack,strategy,30,1.331354,1.319246,1.343463,2.44,,,,1.1527,5.701170050030185e-30,0.0,7.6,0.677503,0.653851
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pack_ice40_icepack,cli,30,0.447191,0.441878,0.452504,3.18,,,,,,,,0.422693,0.024498
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pack_ice40_icepack,strategy,30,0.697521,0.692397,0.702646,1.97,,,,1.5598,1.9257168509240994e-57,0.0,3.9,0.677503,0.020019
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pnr_ecp5_nextpnr,cli,30,1.153281,1.142101,1.164461,2.6,,,,,,,,0.422693,0.730588
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pnr_ecp5_nextpnr,strategy,30,1.403374,1.372925,1.433824,5.81,,,,1.2169,6.414009407549108e-18,0.0,4.3,0.677503,0.725872
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pnr_ice40_nextpnr,cli,30,1.543612,1.534091,1.553133,1.65,,,,,,,,0.422693,1.120919
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pnr_ice40_nextpnr,strategy,60,2.190491,2.087439,2.293543,18.14,,,,1.4191,1.9457527051617748e-18,0.0,12.9,0.677503,1.512988
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",sim_iverilog,cli,30,0.459477,0.453974,0.46498,3.21,,,,,,,,0.422693,0.036784
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",sim_iverilog,strategy,30,0.68148,0.675455,0.687505,2.37,,,,1.4832,1.0147172037231756e-51,0.0,5.5,0.677503,0.003978
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",synth_ecp5_yosys,cli,30,0.880099,0.872398,0.8878,2.34,,,,,,,,0.422693,0.457406
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",synth_ecp5_yosys,strategy,30,1.159586,1.130733,1.188439,6.66,,,,1.3176,1.7880396301513725e-19,0.0,4.4,0.677503,0.482083
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",synth_ice40_yosys,cli,30,0.984883,0.974204,0.995561,2.9,,,,,,,,0.422693,0.56219
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",synth_ice40_yosys,strategy,30,1.179664,1.138617,1.220711,9.32,,,,1.1978,7.82370054208897e-11,0.0,4.9,0.677503,0.502161
